year,catcher,pop_time,distance,lead,sprint,is_cs,is_sb,tracked,pitchout
2022,521692,1.491,46.81523353028575,32.415,27.9,0,1,1,0
2022,542194,NA,61.867536806881326,21.54,26.4,0,1,0,0
2022,542194,1.495,49.563951835276356,29.29,30.1,0,1,1,0
2022,542194,1.535,50.48180232786971,31.68,26.7,0,1,1,0
2022,543228,1.627,55.67117415497753,24.833,29.3,1,0,1,0
2022,543228,1.521,45.05570770503783,33.317,28.1,0,1,1,0
2022,543228,NA,34.85771544133947,45.215,23.2,0,1,0,0
2022,543228,1.533,49.10988216473082,28.401,26.7,0,1,1,0
2022,543228,1.432,40.94672789847328,38.048,29.8,0,1,1,0
2022,543228,NA,55.12914619020543,25.153,28.3,0,1,1,0
2022,543228,NA,44.5824685908711,32.174,28.6,0,1,0,0
2022,543228,1.534,51.08192834720876,28.002,27.5,1,0,1,0
2022,543228,NA,39.71583500383645,37.62,27.3,0,1,0,0
2022,543309,1.539,49.08640995101014,30.913,28.1,0,1,1,0
2022,543510,NA,41.677140306333264,37.731,28.3,0,1,0,0
2022,543592,NA,56.791264311920564,25.008,28.3,0,1,0,0
2022,543592,1.492,53.05359624926944,26.667,29.9,1,0,1,0
2022,543592,1.641,49.804213223310796,29.342,27.6,0,1,1,0
2022,543592,1.608,50.19406654984943,29.357,30.4,0,1,1,0
2022,543592,1.709,43.259249251008065,36.796,27,0,1,1,0
2022,543592,1.637,48.42455306603548,30.703,27.3,0,1,1,0
2022,543877,NA,50.23177979762793,28.548,30.1,0,1,0,0
2022,543877,NA,44.18775926461857,33.109,28,0,1,0,0
2022,543877,NA,50.486778136427255,28.488,29.2,0,1,0,0
2022,543877,1.547,52.04769713827338,27.497,25.5,1,0,1,0
2022,543877,NA,42.07859632996689,35.679,28.1,0,1,0,0
2022,543877,1.542,48.55235926975095,30.066,26.2,0,1,1,0
2022,543877,1.449,47.352087988956434,31.113,30.1,0,1,1,0
2022,545358,1.569,47.180314048819255,30.548,29.1,0,1,1,0
2022,545358,NA,45.44109966392167,32.519,30,0,1,0,0
2022,545358,NA,43.41884087960748,33.489,28.4,0,1,0,0
2022,545358,1.599,49.42778875892386,29.469,28.1,1,0,1,0
2022,545358,NA,46.6241028633983,31.954,28.5,0,1,0,0
2022,545358,1.55,49.91172407323863,28.303,28,0,1,1,0
2022,545358,NA,38.412713236675735,38.366,28.7,0,1,0,0
2022,545358,NA,46.23471525780398,32.721,28.5,0,1,0,0
2022,553869,1.666,51.755790105521335,29.025,26.7,0,1,1,0
2022,553869,1.618,53.5694142477687,25.007,27.6,0,1,1,0
2022,553869,1.323,43.55590588599711,35.012,30.2,0,1,1,0
2022,553869,1.402,45.73477816689422,33.068,28.2,1,0,1,0
2022,553869,1.52,49.124924379340435,29.803,27.6,0,1,1,0
2022,553869,1.38,45.470502243978494,32.586,28.7,0,1,1,0
2022,553869,1.458,49.11807560614771,28.752,29.5,0,1,1,0
2022,553869,1.422,46.291170570437096,32.657,28.1,0,1,1,0
2022,553869,1.43,46.275610062708466,33.273,28.8,0,1,1,0
