team_side,inning,half,batting_score_diff,outs,use_now_team_we,wait_team_we,use_minus_wait,decision
away,4,top,8,0,0.9862764011343693,0.9866124139866108,-3.3601285224149624e-4,KEEP
away,4,top,8,1,0.9838152318063638,0.9847381148374615,-9.228830310977765e-4,KEEP
away,4,top,8,2,0.9817541449172698,0.9831004573649592,-0.0013463124476894572,KEEP
away,4,top,9,0,0.9922398811921823,0.9924383124832791,-1.9843129109675672e-4,KEEP
away,4,top,9,1,0.9907860505884063,0.9913313175635748,-5.452669751685457e-4,KEEP
away,4,top,9,2,0.9895696316244859,0.9903652619259058,-7.956303014199362e-4,KEEP
away,4,top,10,0,0.9957602701168042,0.9958791635445282,-1.1889342772397615e-4,KEEP
away,4,top,10,1,0.9949017902106705,0.9952216340321481,-3.1984382147765e-4,KEEP
away,4,top,10,2,0.9941842881306828,0.9946478357477101,-4.635476170272712e-4,KEEP
away,5,top,-10,0,0.00500412184493082,0.005561628152177089,-5.575063072462694e-4,KEEP
away,5,top,-10,1,0.003129947105649733,0.003547778213059294,-4.1783110740956086e-4,KEEP
away,5,top,-10,2,0.0020296024901429455,0.002319064083878386,-2.8946159373544056e-4,KEEP
away,5,top,-9,0,0.00918855077813907,0.010126297527600747,-9.377467494616765e-4,KEEP
away,5,top,-9,1,0.005928884447972238,0.006670314042594105,-7.414295946218674e-4,KEEP
away,5,top,-9,2,0.003959702737255211,0.004498887928546358,-5.391851912911472e-4,KEEP
away,5,top,-8,0,0.016499999151573186,0.01802205357624198,-0.001522054424668795,KEEP
away,5,top,-8,1,0.010985365305841044,0.012263144657404523,-0.0012777793515634794,KEEP
away,5,top,-8,2,0.007552435162229698,0.008531352616291121,-9.789174540614232e-4,KEEP
away,5,top,-7,0,0.02893203845575043,0.031303925357259454,-0.002371886901509024,KEEP
away,5,top,-7,1,0.019895834446018168,0.022028086356337573,-0.002132251910319405,KEEP
away,5,top,-7,2,0.014090959912165912,0.015819499377539015,-0.0017285394653731023,KEEP
away,5,top,-6,0,0.04941584506054031,0.052937829530405045,-0.0035219844698647362,KEEP
away,5,top,-6,1,0.03514677479116324,0.038575822043082075,-0.0034290472519188375,KEEP
away,5,top,-6,2,0.02567276671606733,0.02863017592104411,-0.0029574092049767797,KEEP
away,5,top,-5,0,0.08195775709969899,0.0868876071941116,-0.004929850094412602,KEEP
away,5,top,-5,1,0.06038225989352919,0.06566316167342778,-0.005280901779898595,KEEP
away,5,top,-5,2,0.04555109612447128,0.05042903787360442,-0.004877941749133141,KEEP
away,5,top,-4,0,0.13148883600191452,0.13789091637978323,-0.006402080377868713,KEEP
away,5,top,-4,1,0.10051718426558598,0.10823769214146961,-0.007720507875883631,KEEP
away,5,top,-4,2,0.07843309819527855,0.08613529019868305,-0.0077021920034044955,KEEP
away,5,top,-3,0,0.20310710847719005,0.21062597638282265,-0.007518867905632609,KEEP
away,5,top,-3,1,0.16139124213154732,0.17197550319347488,-0.010584261061927558,KEEP
away,5,top,-3,2,0.13047630600119964,0.1420108344323714,-0.011534528431171753,KEEP
away,5,top,-2,0,0.30036286577804816,0.3079354318915144,-0.007572566113466239,KEEP
away,5,top,-2,1,0.2485550337051603,0.26182723805765706,-0.013272204352496764,KEEP
away,5,top,-2,2,0.2085844134613445,0.22465227109838914,-0.016067857637044658,KEEP
away,5,top,-1,0,0.4221917147790969,0.4282443578715739,-0.006052643092476995,KEEP
away,5,top,-1,1,0.3641380817616966,0.3793806762299856,-0.015242594468289017,KEEP
away,5,top,-1,2,0.3176831931259504,0.33867405661254435,-0.020990863486593958,KEEP
away,5,top,0,0,0.5591455912703099,0.5634733336302753,-0.004327742359965359,KEEP
away,5,top,0,1,0.5046950473083187,0.5196545522445738,-0.014959504936255086,KEEP
away,5,top,0,2,0.4601904715754126,0.48245330691207067,-0.02226283533665807,KEEP
away,5,top,1,0,0.6875252888371807,0.6905289648278802,-0.003003675990699506,KEEP
away,5,top,1,1,0.6443458226501745,0.6564388229045892,-0.012093000254414732,KEEP
away,5,top,1,2,0.6087215838437794,0.627227072832649,-0.01850548898886961,KEEP
